CaseID,StructID,GM_ID,gm_file,gm_dt_sec,gm_unit,gm_scale,k_global_scale,qy_global_scale,mass_scale,damping_ratio,alpha_post,story_height_m,n_story,k1_scale,k2_scale,k3_scale,k4_scale,k5_scale,qy1_scale,qy2_scale,qy3_scale,qy4_scale,qy5_scale,K1_N_per_m,K2_N_per_m,K3_N_per_m,K4_N_per_m,K5_N_per_m,Qy1_N,Qy2_N,Qy3_N,Qy4_N,Qy5_N,floor_mass_kg,model_type,run_status,success,message,top_disp_max_m,max_story_drift,base_shear_max_N,analysis_time_sec
Case1682,Struct0841,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1078,1.0504,1.169,0.0395,0.0332,3.224,5,1.0618,0.9381,1.1432,0.9825,1.132,0.876,0.964,1.1396,1.0103,0.9833,211727167.2,171472484.7,189965544,146935822.5,150483552,3680601.6,3746566.72,4069921.86,3289779.27,2892003.3,292250,5-story shear model,pending,,,,,,
Case1683,Struct0842,EI,ground_motion/ei3.txt,0.02,g,1,1.0526,0.8542,0.8645,0.0431,0.0326,3.181,5,1.0859,1.0019,0.9138,1.0975,1.0157,0.8987,1.1265,0.9667,0.9904,0.907,205743301.2,174008990.1,144279882,155955847.5,128295098.4,3070678.16,3560348.31,2807567.48,2622599.01,2169326.32,216125,5-story shear model,pending,,,,,,
Case1684,Struct0842,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0526,0.8542,0.8645,0.0431,0.0326,3.181,5,1.0859,1.0019,0.9138,1.0975,1.0157,0.8987,1.1265,0.9667,0.9904,0.907,205743301.2,174008990.1,144279882,155955847.5,128295098.4,3070678.16,3560348.31,2807567.48,2622599.01,2169326.32,216125,5-story shear model,pending,,,,,,
Case1685,Struct0843,EI,ground_motion/ei3.txt,0.02,g,1,0.8533,1.2203,1.1557,0.0779,0.0139,3.213,5,0.9107,1.0727,1.0535,0.9578,0.9606,1.079,1.1145,1.1188,0.9944,1.0557,139878055.8,151030260.2,134842732.5,110334249.9,98361597.6,5266814.8,5032090.1,4641923.58,3761745.59,3607157.99,288925,5-story shear model,pending,,,,,,
Case1686,Struct0843,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8533,1.2203,1.1557,0.0779,0.0139,3.213,5,0.9107,1.0727,1.0535,0.9578,0.9606,1.079,1.1145,1.1188,0.9944,1.0557,139878055.8,151030260.2,134842732.5,110334249.9,98361597.6,5266814.8,5032090.1,4641923.58,3761745.59,3607157.99,288925,5-story shear model,pending,,,,,,
Case1687,Struct0844,EI,ground_motion/ei3.txt,0.02,g,1,0.9625,1.2063,1.0179,0.0611,0.0479,3.12,5,0.9354,0.862,1.1249,1.0661,1.0342,0.9129,0.985,1.061,1.0509,0.8754,162058050,136896375,162407437.5,138526368.8,119450100,4404925.08,4396360.35,4351606.62,3929872.08,2956786.06,254475,5-story shear model,pending,,,,,,
Case1688,Struct0844,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9625,1.2063,1.0179,0.0611,0.0479,3.12,5,0.9354,0.862,1.1249,1.0661,1.0342,0.9129,0.985,1.061,1.0509,0.8754,162058050,136896375,162407437.5,138526368.8,119450100,4404925.08,4396360.35,4351606.62,3929872.08,2956786.06,254475,5-story shear model,pending,,,,,,
Case1689,Struct0845,EI,ground_motion/ei3.txt,0.02,g,1,0.9848,1.0799,1.0383,0.0511,0.0173,3.357,5,0.9309,1.1029,0.9195,1.0035,1.1248,0.8674,0.9817,0.939,1.051,1.1394,165015057.6,179212426.8,135828540,133413318,132924364.8,3746821.04,3922509.97,3447688.74,3518422.19,3445226.57,259575,5-story shear model,pending,,,,,,
Case1690,Struct0845,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9848,1.0799,1.0383,0.0511,0.0173,3.357,5,0.9309,1.1029,0.9195,1.0035,1.1248,0.8674,0.9817,0.939,1.051,1.1394,165015057.6,179212426.8,135828540,133413318,132924364.8,3746821.04,3922509.97,3447688.74,3518422.19,3445226.57,259575,5-story shear model,pending,,,,,,
Case1691,Struct0846,EI,ground_motion/ei3.txt,0.02,g,1,1.0816,0.9793,0.8041,0.0276,0.0337,3.424,5,0.9047,0.931,1.0697,1.0077,1.013,0.9831,1.1254,1.0184,0.8692,1.0859,176134233.6,166149984,173548128,147140323.2,131479296,3850999.32,4077785.61,3390885.01,2638743.44,2977581.24,201025,5-story shear model,pending,,,,,,
Case1692,Struct0846,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0816,0.9793,0.8041,0.0276,0.0337,3.424,5,0.9047,0.931,1.0697,1.0077,1.013,0.9831,1.1254,1.0184,0.8692,1.0859,176134233.6,166149984,173548128,147140323.2,131479296,3850999.32,4077785.61,3390885.01,2638743.44,2977581.24,201025,5-story shear model,pending,,,,,,
